date,BIAŁYSTOK,BYDGOSZCZ,CZĘSTOCHOWA,GDAŃSK,GDYNIA,GLIWICE,KATOWICE,KIELCE,KRAKÓW,LUBLIN,POZNAŃ,RADOM,RZESZÓW,SOSNOWIEC,SZCZECIN,TORUŃ,WARSZAWA,WROCŁAW,ŁÓDŹ
2022-04-17,3063.0,8037.0,3548.0,10256.0,6821.0,4079.0,8909.0,3145.0,16925.0,6083.0,21989.0,2035.0,5972.0,3480.0,8647.0,3983.0,81562.0,25416.0,9687.0
2022-04-24,151.0,462.0,254.0,1738.0,775.0,230.0,551.0,162.0,2359.0,728.0,3008.0,82.0,252.0,318.0,1315.0,275.0,7686.0,3943.0,1117.0
2022-05-01,50.0,144.0,108.0,951.0,325.0,98.0,279.0,63.0,1624.0,244.0,583.0,47.0,101.0,203.0,417.0,101.0,3772.0,2173.0,508.0
2022-05-08,165.0,358.0,297.0,2058.0,488.0,215.0,648.0,132.0,2861.0,574.0,1179.0,98.0,350.0,207.0,956.0,164.0,6615.0,5256.0,1128.0
2022-05-15,65.0,224.0,173.0,874.0,259.0,111.0,325.0,97.0,1482.0,349.0,725.0,94.0,192.0,113.0,477.0,141.0,4115.0,1330.0,549.0
2022-05-22,58.0,188.0,128.0,433.0,223.0,103.0,261.0,65.0,1194.0,299.0,559.0,67.0,156.0,75.0,403.0,85.0,2488.0,1183.0,455.0
2022-05-29,38.0,162.0,92.0,375.0,154.0,119.0,248.0,38.0,918.0,322.0,597.0,61.0,161.0,72.0,249.0,76.0,3053.0,924.0,450.0
2022-06-05,61.0,157.0,61.0,335.0,136.0,120.0,223.0,54.0,966.0,207.0,597.0,56.0,97.0,58.0,263.0,58.0,2678.0,836.0,417.0
2022-06-12,50.0,162.0,89.0,272.0,142.0,73.0,149.0,39.0,739.0,256.0,500.0,72.0,104.0,74.0,252.0,77.0,2219.0,819.0,333.0
2022-06-19,37.0,105.0,55.0,222.0,105.0,52.0,176.0,43.0,635.0,156.0,336.0,32.0,120.0,39.0,163.0,64.0,958.0,556.0,266.0
2022-06-26,38.0,110.0,51.0,255.0,120.0,42.0,132.0,39.0,606.0,191.0,217.0,34.0,106.0,55.0,191.0,52.0,1080.0,673.0,300.0
2022-07-03,43.0,97.0,85.0,219.0,88.0,84.0,124.0,46.0,564.0,160.0,265.0,42.0,98.0,56.0,178.0,55.0,1228.0,632.0,260.0
2022-07-10,43.0,152.0,100.0,325.0,151.0,97.0,202.0,59.0,645.0,209.0,296.0,44.0,126.0,68.0,260.0,64.0,1562.0,760.0,400.0
2022-07-17,47.0,162.0,83.0,331.0,167.0,118.0,145.0,61.0,635.0,238.0,371.0,52.0,115.0,64.0,247.0,68.0,1544.0,901.0,370.0
2022-07-24,37.0,129.0,90.0,246.0,138.0,73.0,204.0,42.0,564.0,185.0,236.0,73.0,133.0,81.0,209.0,48.0,1626.0,856.0,280.0
2022-07-31,38.0,129.0,71.0,302.0,103.0,153.0,230.0,43.0,657.0,199.0,318.0,51.0,120.0,63.0,308.0,66.0,2042.0,969.0,305.0
2022-08-07,57.0,126.0,90.0,295.0,119.0,91.0,229.0,50.0,708.0,204.0,358.0,57.0,128.0,137.0,289.0,61.0,2091.0,958.0,221.0
2022-08-14,64.0,116.0,98.0,254.0,99.0,78.0,164.0,66.0,713.0,188.0,343.0,71.0,106.0,96.0,257.0,50.0,1997.0,910.0,339.0
2022-08-21,48.0,92.0,57.0,148.0,76.0,142.0,192.0,70.0,613.0,169.0,246.0,38.0,128.0,73.0,233.0,48.0,1556.0,810.0,280.0
2022-08-28,36.0,111.0,83.0,192.0,125.0,88.0,210.0,46.0,661.0,171.0,317.0,53.0,120.0,101.0,353.0,50.0,1944.0,905.0,338.0
2022-09-04,30.0,108.0,75.0,148.0,99.0,76.0,179.0,90.0,537.0,146.0,239.0,86.0,114.0,85.0,241.0,34.0,1479.0,660.0,314.0
2022-09-11,77.0,149.0,79.0,308.0,134.0,79.0,223.0,109.0,671.0,224.0,376.0,57.0,140.0,76.0,302.0,51.0,1906.0,940.0,343.0
2022-09-18,17.0,88.0,49.0,177.0,96.0,62.0,141.0,62.0,409.0,144.0,278.0,43.0,132.0,42.0,183.0,42.0,1237.0,587.0,215.0
2022-09-25,28.0,113.0,127.0,194.0,87.0,55.0,154.0,62.0,435.0,144.0,363.0,31.0,148.0,96.0,226.0,40.0,1401.0,662.0,271.0
2022-10-02,34.0,94.0,81.0,160.0,78.0,67.0,114.0,78.0,394.0,120.0,301.0,26.0,82.0,70.0,160.0,20.0,1194.0,566.0,212.0
2022-10-09,53.0,145.0,119.0,293.0,145.0,76.0,229.0,82.0,791.0,228.0,401.0,59.0,144.0,125.0,308.0,46.0,2358.0,1095.0,359.0
2022-10-16,-227.0,-549.0,-213.0,-672.0,-332.0,-252.0,-624.0,-310.0,-1444.0,-813.0,-1462.0,-177.0,-863.0,-180.0,-535.0,-244.0,-7325.0,-2175.0,-674.0
2022-10-23,-525.0,-1348.0,-699.0,-2249.0,-1170.0,-733.0,-1860.0,-701.0,-4950.0,-1547.0,-4163.0,-375.0,-1387.0,-568.0,-1593.0,-760.0,-18770.0,-6142.0,-2106.0
2022-10-30,-275.0,-598.0,-413.0,-1508.0,-803.0,-483.0,-1018.0,-327.0,-2682.0,-1020.0,-2632.0,-246.0,-747.0,-397.0,-902.0,-321.0,-10473.0,-3791.0,-1123.0
2022-11-06,14.0,14.0,11.0,47.0,-8.0,14.0,34.0,9.0,133.0,31.0,-30.0,20.0,10.0,39.0,57.0,-3.0,436.0,206.0,58.0
2022-11-13,9.0,48.0,25.0,73.0,35.0,16.0,40.0,-9.0,159.0,62.0,-11.0,31.0,50.0,35.0,50.0,14.0,527.0,289.0,143.0
2022-11-20,-3.0,68.0,39.0,114.0,11.0,28.0,10.0,33.0,301.0,82.0,99.0,19.0,71.0,35.0,66.0,15.0,685.0,372.0,191.0
2022-11-27,-212.0,-513.0,-341.0,-1086.0,-502.0,-326.0,-927.0,-250.0,-2584.0,-790.0,-1736.0,-214.0,-702.0,-225.0,-596.0,-293.0,-9454.0,-2781.0,-783.0
2022-12-04,-5.0,31.0,16.0,18.0,35.0,-17.0,-9.0,2.0,42.0,-9.0,-12.0,1.0,-39.0,21.0,41.0,-9.0,-61.0,136.0,97.0
2022-12-11,13.0,29.5,36.5,102.0,51.0,24.5,78.5,28.5,326.5,86.0,79.5,21.0,13.5,25.0,72.0,11.0,812.5,307.5,122.0
2022-12-18,13.0,29.5,36.5,102.0,51.0,24.5,78.5,28.5,326.5,86.0,79.5,21.0,13.5,25.0,72.0,11.0,812.5,307.5,122.0
2022-12-25,23.0,38.0,4.0,89.0,65.0,28.0,25.0,22.0,203.0,41.0,99.0,20.0,20.0,17.0,46.0,1.0,476.0,240.0,101.0
2023-01-01,18.5,80.5,35.0,115.0,62.5,37.5,60.5,38.5,321.5,73.0,114.5,25.5,56.5,26.5,113.5,40.0,967.5,348.0,103.0
2023-01-08,18.5,80.5,35.0,115.0,62.5,37.5,60.5,38.5,321.5,73.0,114.5,25.5,56.5,26.5,113.5,40.0,967.5,348.0,103.0
2023-01-15,11.5,69.0,17.0,123.5,28.5,33.5,69.5,32.5,305.5,96.0,101.5,27.0,63.0,23.5,89.0,23.0,850.5,345.5,163.5
2023-01-22,11.5,69.0,17.0,123.5,28.5,33.5,69.5,32.5,305.5,96.0,101.5,27.0,63.0,23.5,89.0,23.0,850.5,345.5,163.5
2023-01-29,25.0,44.0,21.0,137.0,28.0,41.0,111.0,59.0,389.0,77.0,208.0,18.0,73.0,25.0,92.0,28.0,1250.0,368.0,147.0
2023-02-05,-2.0,-20.0,-10.0,-27.0,-18.0,-22.0,-34.0,-30.0,-101.0,-54.0,-110.0,2.0,-48.0,-41.0,-78.0,-30.0,-135.0,-133.0,-113.0
2023-02-12,30.0,33.0,52.0,107.0,54.0,31.0,81.0,69.0,356.0,138.0,182.0,17.0,73.0,23.0,77.0,10.0,688.0,372.0,132.0
2023-02-19,5.5,53.5,15.0,86.5,29.0,26.5,54.0,38.5,306.5,88.0,115.5,15.0,59.0,25.5,61.0,1.5,662.5,264.5,86.0
2023-02-26,5.5,53.5,15.0,86.5,29.0,26.5,54.0,38.5,306.5,88.0,115.5,15.0,59.0,25.5,61.0,1.5,662.5,264.5,86.0
2023-03-05,11.75,18.0,27.75,56.5,25.25,25.0,46.75,15.25,236.0,39.75,16.0,8.5,30.25,4.75,32.5,8.75,462.5,177.25,62.5
2023-03-12,11.75,18.0,27.75,56.5,25.25,25.0,46.75,15.25,236.0,39.75,16.0,8.5,30.25,4.75,32.5,8.75,462.5,177.25,62.5
2023-03-19,11.75,18.0,27.75,56.5,25.25,25.0,46.75,15.25,236.0,39.75,16.0,8.5,30.25,4.75,32.5,8.75,462.5,177.25,62.5
2023-03-26,11.75,18.0,27.75,56.5,25.25,25.0,46.75,15.25,236.0,39.75,16.0,8.5,30.25,4.75,32.5,8.75,462.5,177.25,62.5
2023-04-02,8.0,11.0,15.0,59.0,21.0,11.0,26.0,10.0,160.0,42.0,42.0,14.0,32.0,15.0,14.0,-1.0,208.0,236.0,56.0
2023-04-09,10.0,59.0,13.0,83.0,19.0,13.0,31.0,4.0,176.0,27.0,41.0,-10.0,11.0,12.0,61.0,11.0,451.0,254.0,78.0
2023-04-16,-16.0,-35.0,-8.75,-16.75,-15.25,-7.5,-21.5,-9.25,-17.75,-26.5,-57.0,-6.25,31.0,-4.75,-22.75,-10.5,-45.75,13.0,-61.0
2023-04-23,-16.0,-35.0,-8.75,-16.75,-15.25,-7.5,-21.5,-9.25,-17.75,-26.5,-57.0,-6.25,31.0,-4.75,-22.75,-10.5,-45.75,13.0,-61.0
2023-04-30,-16.0,-35.0,-8.75,-16.75,-15.25,-7.5,-21.5,-9.25,-17.75,-26.5,-57.0,-6.25,31.0,-4.75,-22.75,-10.5,-45.75,13.0,-61.0
2023-05-07,-16.0,-35.0,-8.75,-16.75,-15.25,-7.5,-21.5,-9.25,-17.75,-26.5,-57.0,-6.25,31.0,-4.75,-22.75,-10.5,-45.75,13.0,-61.0
2023-05-14,-3.0,-37.0,-8.0,-5.0,-17.0,-2.0,-21.0,-5.5,-51.5,-4.5,-114.5,-9.0,10.0,-17.5,-31.5,-22.0,-299.0,29.0,-91.0
2023-05-21,-3.0,-37.0,-8.0,-5.0,-17.0,-2.0,-21.0,-5.5,-51.5,-4.5,-114.5,-9.0,10.0,-17.5,-31.5,-22.0,-299.0,29.0,-91.0
2023-05-28,0.0,-16.0,3.0,13.5,-6.0,11.0,35.0,4.0,35.5,-1.5,11.0,19.0,7.5,-7.5,4.5,-8.5,20.0,76.5,-1.0
2023-06-04,0.0,-16.0,3.0,13.5,-6.0,11.0,35.0,4.0,35.5,-1.5,11.0,19.0,7.5,-7.5,4.5,-8.5,20.0,76.5,-1.0
2023-06-11,-13.0,14.0,0.0,9.0,-18.0,6.0,3.0,-22.0,-7.0,-17.0,-33.0,-13.0,63.0,15.0,-20.0,-26.0,-47.0,67.0,-90.0
2023-06-18,5.0,-1.0,1.0,47.0,-6.0,-5.0,28.0,-3.0,90.0,45.0,-12.0,-7.0,32.0,8.0,50.0,-10.0,76.0,133.0,-16.0
2023-06-25,46.0,8.0,13.0,80.0,29.0,20.0,43.0,20.0,88.0,30.0,-16.0,0.0,159.0,-1.0,36.0,-8.0,324.0,106.0,-18.0
2023-07-02,-5.0,-40.0,11.0,38.0,5.0,10.0,19.0,9.0,14.0,6.0,-14.0,-5.0,44.0,15.0,12.0,13.0,92.0,135.0,22.0
2023-07-09,-78.0,-169.0,-122.0,-377.0,-210.0,-88.0,-211.0,-39.0,-764.0,-156.0,-633.0,-53.0,4.0,-79.0,-336.0,-70.0,-2544.0,-782.0,-251.0
2023-07-16,-11.0,-36.25,-19.5,-16.0,-33.0,-23.0,-28.75,-16.25,-43.5,4.5,-113.5,-8.0,18.25,2.75,-56.25,-22.5,-285.75,9.0,-67.5
2023-07-23,-11.0,-36.25,-19.5,-16.0,-33.0,-23.0,-28.75,-16.25,-43.5,4.5,-113.5,-8.0,18.25,2.75,-56.25,-22.5,-285.75,9.0,-67.5
2023-07-30,-11.0,-36.25,-19.5,-16.0,-33.0,-23.0,-28.75,-16.25,-43.5,4.5,-113.5,-8.0,18.25,2.75,-56.25,-22.5,-285.75,9.0,-67.5
2023-08-06,-11.0,-36.25,-19.5,-16.0,-33.0,-23.0,-28.75,-16.25,-43.5,4.5,-113.5,-8.0,18.25,2.75,-56.25,-22.5,-285.75,9.0,-67.5
2023-08-13,-48.0,-88.0,-32.0,-103.0,-65.0,-41.0,-50.0,-19.0,-206.0,-53.0,-256.0,-14.0,-63.0,-41.0,-102.0,-44.0,-611.0,2.0,-152.0
2023-08-20,12.5,-50.5,1.0,-45.0,-29.5,-33.5,-16.0,5.0,-35.5,3.5,-117.0,-0.5,-17.5,-6.5,-47.5,-35.5,-130.0,-14.5,-88.5
2023-08-27,12.5,-50.5,1.0,-45.0,-29.5,-33.5,-16.0,5.0,-35.5,3.5,-117.0,-0.5,-17.5,-6.5,-47.5,-35.5,-130.0,-14.5,-88.5
